日期,地区,产品类别,产品名称,销售额,销售量,利润,折扣,客户评分
2024-01-05,华东,电子产品,智能手机,15800.00,12,3200.00,0.05,4.5
2024-01-08,华东,服装鞋帽,运动鞋,4200.00,15,1100.00,0.10,4.2
2024-01-12,华南,电子产品,笔记本电脑,25600.00,5,5200.00,0.08,4.7
2024-01-15,华北,食品饮料,有机茶叶,3800.00,28,950.00,0.00,4.8
2024-01-18,西南,家居用品,智能台灯,5600.00,20,1400.00,0.15,4.0
2024-01-20,华中,运动户外,瑜伽垫,1800.00,35,540.00,0.20,4.3
2024-01-22,华东,电子产品,平板电脑,12800.00,8,2800.00,0.05,4.6
2024-01-25,华南,服装鞋帽,T恤衫,2400.00,40,800.00,0.25,3.9
2024-01-28,华北,食品饮料,坚果礼盒,5600.00,22,1680.00,0.10,4.4
2024-02-01,西南,家居用品,记忆枕,3200.00,18,960.00,0.12,4.1
2024-02-05,华东,电子产品,智能手表,8900.00,14,2200.00,0.08,4.5
2024-02-08,华南,服装鞋帽,牛仔裤,3600.00,25,1080.00,0.30,4.0
2024-02-10,华北,食品饮料,进口奶粉,7200.00,16,2160.00,0.05,4.6
2024-02-14,华中,运动户外,跑步机,15800.00,3,4200.00,0.10,4.7
2024-02-18,西南,家居用品,蚕丝被,4800.00,12,1440.00,0.15,4.4
2024-02-20,华东,电子产品,无线耳机,3200.00,30,960.00,0.20,4.2
2024-02-22,华南,服装鞋帽,连衣裙,2800.00,22,840.00,0.25,4.1
2024-02-25,华北,食品饮料,红酒礼盒,9800.00,8,3200.00,0.05,4.8
2024-02-28,华中,运动户外,篮球,1200.00,42,360.00,0.15,4.3
2024-03-02,西南,家居用品,空气炸锅,6800.00,10,1800.00,0.10,4.5
2024-03-05,华东,电子产品,手机壳,800.00,55,320.00,0.40,3.8
2024-03-08,华南,服装鞋帽,羽绒服,8600.00,6,2800.00,0.10,4.6
2024-03-10,华北,食品饮料,蜂蜜礼盒,4200.00,18,1260.00,0.08,4.4
2024-03-12,华中,运动户外,登山包,2400.00,14,720.00,0.12,4.2
2024-03-15,西南,家居用品,乳胶床垫,12800.00,4,3800.00,0.05,4.7
